repo_id,github_repo_id,repo_name,full_name,description,topics,language,language,owner_id,github_owner_id,owner_login,visibility,private,disabled,fork,archived,default_branch,language,language,stargazers_count,watchers,watchers_count,forks_count,forks,open_issues_count,created_at,updated_at,pushed_at
146f22cb-c4b7-5134-acfb-a7ba06371299,790468692,3DTelecommunications,microsoft/3DTelecommunications,3D Telecommunications project utilizing Holoportation technology to provide live volumetric capture.  Used in one case to increase the reach of specialized medicine.,,C++,C++,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,C++,C++,14,14,14,3,3,8,2024-04-22 23:49:37+00:00,2026-01-07 10:59:34+00:00,2025-06-10 20:34:08+00:00
0271e2fd-aff5-561b-98bd-b05c755ba6ef,514408713,50BusinessAssignmentsLog,microsoft/50BusinessAssignmentsLog,Dataset containing an Event Log of 165 recordings of 50 business assignments.,,,,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,,,9,9,9,2,2,1,2022-07-15 21:24:28+00:00,2025-11-25 19:28:14+00:00,2024-05-05 12:31:52+00:00
a7519d43-426a-519f-acd2-31b558eaf75f,675644093,A-CLIP,microsoft/A-CLIP,"Official Implementation of Attentive Mask CLIP (ICCV2023, https://arxiv.org/abs/2212.08653)",,Python,Python,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,Python,Python,33,33,33,5,5,6,2023-08-07 11:51:30+00:00,2025-11-25 19:21:19+00:00,2024-05-29 14:40:11+00:00
de889b0b-7845-5456-8ef4-cff0f99b1df9,265093175,A-TALE-OF-THREE-CITIES,microsoft/A-TALE-OF-THREE-CITIES,"Analyzing the safety (311) dataset published by Azure Open Datasets for Chicago, Boston and New York City using SparkR, SParkSQL, Azure Databricks, visualization using ggplot2 and leaflet. Focus is on descriptive analytics, visualization, clustering, time series forecasting and anomaly detection.","311-data,aiforsocialgood,anomaly-detection,anomalydiscovery,azure,azure-databricks,data,databricks-notebooks,datascience-machinelearning,eda,geospatial,leaflet,opendata,r,sparkr,sparksql,time-series-analysis,timeseries-forecasting,visualization,workshop-materials",R,R,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,master,R,R,87,87,87,36,36,1,2020-05-18 23:59:05+00:00,2025-12-24 05:03:27+00:00,2021-05-03 20:14:01+00:00
f75caa39-3704-5680-aed3-5f2589d65584,1063553193,a11y-llm-eval,microsoft/a11y-llm-eval,,,Python,Python,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,Python,Python,9,9,9,4,4,1,2025-09-24 19:35:50+00:00,2025-12-16 14:34:47+00:00,2026-01-19 15:47:39+00:00
ec03ee86-bb85-5384-aa10-fa5f2103d144,1085103626,a11y-llm-eval-report,microsoft/a11y-llm-eval-report,,,,,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,,,1,1,1,2,2,0,2025-10-28 15:33:48+00:00,2025-11-25 19:20:51+00:00,2025-11-19 18:37:55+00:00
2df72074-1e19-5d0f-a4a7-c69bcd3c82cf,376848872,aaai21-copy-that,microsoft/aaai21-copy-that,"Source code for the ""Copy that! Editing Sequences by Copying Spans"" AAAI'21 paper",,Python,Python,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,Python,Python,12,12,12,6,6,1,2021-06-14 14:17:22+00:00,2025-11-25 19:19:53+00:00,2021-06-14 14:34:00+00:00
ccf9a0d0-97f7-5e33-9dfe-f148c42eea11,422403818,aad-app-credential-tools,microsoft/aad-app-credential-tools,Tooling for application credentials,,PowerShell,PowerShell,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,PowerShell,PowerShell,22,22,22,23,23,10,2021-10-29 01:20:41+00:00,2025-11-25 19:29:37+00:00,2022-02-08 11:55:34+00:00
d3ad32fd-2d57-5ac6-91d6-99405d7fbe77,146294473,aad-hybrid-lab,microsoft/aad-hybrid-lab,"Create a new VM with AD installed, test users created, PowerShell Azure AD modules, and Azure AD Connect installer ready to go.",,PowerShell,PowerShell,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,master,PowerShell,PowerShell,36,36,36,39,39,3,2018-08-27 12:28:59+00:00,2025-12-03 13:12:05+00:00,2023-06-12 19:01:59+00:00
6d722033-55ba-53ba-a6dc-4826640d5f2a,1093581650,AADB2C-migration,microsoft/AADB2C-migration,,,,,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,,,1,1,1,1,1,0,2025-11-10 15:06:32+00:00,2025-12-12 16:09:48+00:00,2025-12-12 16:09:43+00:00
5b5ff7a5-a0fd-5ab7-aae1-10e4e48efe41,356332292,aadb2c-starter-kit,microsoft/aadb2c-starter-kit,,,JavaScript,JavaScript,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,JavaScript,JavaScript,7,7,7,4,4,35,2021-04-09 16:20:52+00:00,2025-11-25 19:21:06+00:00,2023-08-30 22:17:54+00:00
087666ee-ba01-5b32-9367-fec6e4243259,57305206,AADConnectConfigDocumenter,microsoft/AADConnectConfigDocumenter,AAD Connect configuration documenter is a tool to generate documentation of an AAD Connect installation.,,C#,C#,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,master,C#,C#,263,263,263,50,50,7,2016-04-28 13:46:09+00:00,2025-12-30 13:24:56+00:00,2024-04-26 21:01:42+00:00
f901c8a0-4928-515a-82ad-98d26056c55f,589474387,aad_b2c_webview,microsoft/aad_b2c_webview,Azure AD B2C Embedded Webview is a very simple Flutter package that demonstrates how to use the embedded web view to sign in users with Azure AD B2C.,,Dart,Dart,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,Dart,Dart,41,41,41,30,30,7,2023-01-16 07:54:09+00:00,2026-01-14 06:26:51+00:00,2025-08-05 20:25:51+00:00
bcfefbad-1e8c-52e3-82bd-253625bc7005,726252160,aaq,microsoft/aaq,Code and Data artifact for Affective Air Quality: A Dataset of Gas Sensor Data during Emotional Experiences,"affective,gas-sensor,olfaction,smell,smell-detector",,,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,,,4,4,4,2,2,1,2023-12-01 21:41:05+00:00,2026-01-21 07:21:37+00:00,2025-09-24 14:58:12+00:00
3c5e1e29-bbce-50d3-b659-d7fdf434d826,162219743,AaronLocker,microsoft/AaronLocker,Robust and practical application control for Windows,,PowerShell,PowerShell,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,PowerShell,PowerShell,680,680,680,85,85,16,2018-12-18 02:41:00+00:00,2026-01-27 22:15:29+00:00,2022-08-12 20:23:06+00:00
8ca1c780-1a49-578b-82bc-69d397c39667,124694095,ABAP-SDK-for-Azure,microsoft/ABAP-SDK-for-Azure,ABAP Libraries for SAP native Integration with Azure Services,"abap,abap-sdk,abapgit,azure,azuresdk",ABAP,ABAP,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,master,ABAP,ABAP,185,185,185,63,63,8,2018-03-10 20:01:50+00:00,2025-12-12 15:20:26+00:00,2025-10-06 07:09:50+00:00
5648a979-f4dc-5989-8a6c-1fbd92f11210,563697236,abap2git,microsoft/abap2git,"One-way sync from SAP to Git repo for ABAP objects allowing multiple systems in branches and multiple packages in one branch, supporting code objects plus configuration delta and HR/payroll PCR/schema",,ABAP,ABAP,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,ABAP,ABAP,17,17,17,6,6,1,2022-11-09 06:17:49+00:00,2025-11-25 19:23:21+00:00,2023-10-27 23:14:55+00:00
113cba39-72e2-501a-8d84-3ade496fe55b,204974165,ability-attributes,microsoft/ability-attributes,Web Application Accessibility Attributes Runtime Validator,,TypeScript,TypeScript,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,master,TypeScript,TypeScript,6,6,6,8,8,4,2019-08-28 16:17:49+00:00,2025-11-25 19:30:51+00:00,2023-11-01 09:17:33+00:00
165a756e-e3ff-5d57-ae8d-51b56c60a485,954851140,abledom,microsoft/abledom,Continuous detection of typical web application accessibility problems.,,TypeScript,TypeScript,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,TypeScript,TypeScript,2,2,2,4,4,3,2025-03-25 18:00:31+00:00,2025-12-05 13:17:17+00:00,2026-01-23 16:40:39+00:00
daeaf58a-5dba-577e-b55b-27d2a24b79c7,744583961,ABS-CSA-Assets,microsoft/ABS-CSA-Assets,This repo centralizes assets used by Microsoft CSAs. It is available to all organizations for educational purposes.,,JavaScript,JavaScript,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,JavaScript,JavaScript,10,10,10,3,3,4,2024-01-17 15:44:55+00:00,2026-01-15 21:24:51+00:00,2026-01-15 21:24:37+00:00
